timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path,rpc_nodes
2025-11-18T09:22:08.612693,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp128,128,981.29,1.91,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:22:50.606452,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp128,128,988.82,3.83,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:23:32.257603,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp256,256,1131.34,13.58,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:24:14.876401,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp256,256,1134.97,5.78,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:24:56.598375,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp512,512,2126.14,9.96,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:25:39.395475,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp512,512,2127.53,6.18,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:26:22.608857,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp1024,1024,2098.48,3.6,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:27:06.797438,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp1024,1024,2090.85,3.88,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:27:53.225285,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp2048,2048,2024.07,3.14,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:28:40.494444,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp2048,2048,2014.41,4.9,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:29:33.347505,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp4096,4096,1967.58,3.82,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:30:27.417315,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp4096,4096,1941.1,1.37,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:31:34.007050,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp8192,8192,1876.97,2.76,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
2025-11-18T09:32:41.516785,gemma-3-4b-it-Q4_K_M,2.31,3.88,ROCm,12,pp8192,8192,1875.13,1.45,Q4_K_M,fw_desktop_ai395x1,Framework,Desktop,AMD Ryzen AI Max+ 395,128,Radeon 8060S,Fedora 42,/mnt/external/models/lmstudio-community/gemma-3-4b-it-GGUF/gemma-3-4b-it-Q4_K_M.gguf,0
