timestamp,model_name,model_size_gb,params_b,backend,threads,test_type,prompt_size,tokens_per_second,std_dev,quantization,hardware_slug,hardware_make,hardware_model,hardware_cpu,hardware_mem_gb,hardware_gpu,environment_os,model_path
2025-11-17T20:35:01.308206,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp128,128,765.59,14.57,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:35:35.114523,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp128,128,763.95,13.28,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:36:08.862221,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp128,128,770.83,13.28,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:36:42.754605,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp128,128,766.44,11.68,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:37:16.461403,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp128,128,763.13,13.42,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:37:49.666260,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp256,256,1085.78,14.88,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:38:23.804400,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp256,256,1092.06,19.7,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:38:57.918198,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp256,256,1089.75,10.96,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:39:32.055504,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp256,256,1093.76,14.71,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
2025-11-17T20:40:06.075645,Qwen3-Coder-30B-A3B-Instruct-Q4_K_M,17.35,30.53,"Metal,BLAS",12,pp256,256,1088.1,11.9,Q4_K_M,mbp_m4max,Apple,MacBook Pro,M4 Max,128,M4 Max,macOS Sequoia,/Users/alex/.cache/lm-studio/models/lmstudio-community/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf
